tse_code,UF,UF_name,muni_name,ipums_1980
310,RO,RONDONIA,ALTA FLORESTA D'OESTE,
78,RO,RONDONIA,ARIQUEMES,11004
450,RO,RONDONIA,CABIXI,
94,RO,RONDONIA,CACOAL,11001
272,RO,RONDONIA,CEREJEIRAS,
230,RO,RONDONIA,COLORADO DO OESTE,
655,RO,RONDONIA,CORUMBIARA,
213,RO,RONDONIA,COSTA MARQUES,
256,RO,RONDONIA,ESPIGAO D'OESTE,
19,RO,RONDONIA,GUAJARA-MIRIM,11007
159,RO,RONDONIA,JARU,
51,RO,RONDONIA,JI-PARANA,11005
396,RO,RONDONIA,MACHADINHO D'OESTE,
370,RO,RONDONIA,NOVA BRASILANDIA D'OESTE,
175,RO,RONDONIA,OURO PRETO DO OESTE,
116,RO,RONDONIA,PIMENTA BUENO,11002
35,RO,RONDONIA,PORTO VELHO,11003
191,RO,RONDONIA,PRESIDENTE MEDICI,
647,RO,RONDONIA,RIO CRESPO,
299,RO,RONDONIA,ROLIM DE MOURA,
353,RO,RONDONIA,SANTA LUZIA D'OESTE,
132,RO,RONDONIA,VILHENA,11006
418,RO,RONDONIA,SAO MIGUEL DO GUAPORE,
434,RO,RONDONIA,NOVA MAMORE,
337,RO,RONDONIA,ALVORADA D'OESTE,
736,RO,RONDONIA,ALTO ALEGRE DOS PARECIS,
639,RO,RONDONIA,ALTO PARAISO,
779,RO,RONDONIA,BURITIS,
515,RO,RONDONIA,NOVO HORIZONTE DO OESTE,
620,RO,RONDONIA,CACAULANDIA,
671,RO,RONDONIA,CAMPO NOVO DE RONDONIA,
477,RO,RONDONIA,CANDEIAS DO JAMARI,
531,RO,RONDONIA,CASTANHEIRAS,
809,RO,RONDONIA,CHUPINGUAIA,
680,RO,RONDONIA,CUJUBIM,
612,RO,RONDONIA,GOVERNADOR JORGE TEIXEIRA,
493,RO,RONDONIA,ITAPUA DO OESTE,
604,RO,RONDONIA,MINISTRO ANDREAZZA,
574,RO,RONDONIA,MIRANTE DA SERRA,
663,RO,RONDONIA,MONTE NEGRO,
744,RO,RONDONIA,NOVA UNIAO,
701,RO,RONDONIA,PARECIS,
787,RO,RONDONIA,PIMENTEIRAS DO OESTE,
728,RO,RONDONIA,PRIMAVERA DE RONDONIA,
710,RO,RONDONIA,SAO FELIPE D'OESTE,
795,RO,RONDONIA,SAO FRANCISCO DO GUAPORE,
582,RO,RONDONIA,SERINGUEIRAS,
752,RO,RONDONIA,TEIXEIROPOLIS,
590,RO,RONDONIA,THEOBROMA,
566,RO,RONDONIA,URUPA,
698,RO,RONDONIA,VALE DO ANARI,
558,RO,RONDONIA,VALE DO PARAISO,
1120,AC,ACRE,ACRELANDIA,
1570,AC,ACRE,ASSIS BRASIL,12008
1058,AC,ACRE,BRASILEIA,12002
1007,AC,ACRE,BUJARI,
1015,AC,ACRE,CAPIXABA,
1074,AC,ACRE,CRUZEIRO DO SUL,12004
1112,AC,ACRE,EPITACIOLANDIA,
1139,AC,ACRE,FEIJO,12007
1104,AC,ACRE,JORDAO,
1090,AC,ACRE,MANCIO LIMA,12004
1554,AC,ACRE,MANOEL URBANO,12007
1040,AC,ACRE,MARECHAL THAUMATURGO,
1511,AC,ACRE,PLACIDO DE CASTRO,12009
1066,AC,ACRE,PORTO WALTER,
1392,AC,ACRE,RIO BRANCO,12005
1082,AC,ACRE,RODRIGUES ALVES,
1031,AC,ACRE,SANTA ROSA DO PURUS,
1538,AC,ACRE,SENADOR GUIOMARD,12009
1457,AC,ACRE,SENA MADUREIRA,12008
1473,AC,ACRE,TARAUACA,12006
1490,AC,ACRE,XAPURI,12003
1023,AC,ACRE,PORTO ACRE,
2895,AM,AMAZONAS,ALVARAES,
2917,AM,AMAZONAS,AMATURA,
2933,AM,AMAZONAS,ANAMA,
2038,AM,AMAZONAS,ANORI,13001
2003,AM,AMAZONAS,APUI,
2054,AM,AMAZONAS,ATALAIA DO NORTE,13027
2070,AM,AMAZONAS,AUTAZES,13005
2097,AM,AMAZONAS,BARCELOS,13033
2119,AM,AMAZONAS,BARREIRINHA,13012
2135,AM,AMAZONAS,BENJAMIN CONSTANT,13004
2950,AM,AMAZONAS,BERURI,
2976,AM,AMAZONAS,BOA VISTA DO RAMOS,
2151,AM,AMAZONAS,BOCA DO ACRE,13006
2178,AM,AMAZONAS,BORBA,13021
2992,AM,AMAZONAS,CAAPIRANGA,
2194,AM,AMAZONAS,CANUTAMA,13007
2216,AM,AMAZONAS,CARAUARI,13003
2232,AM,AMAZONAS,CAREIRO,13025
2046,AM,AMAZONAS,CAREIRO DA VARZEA,
2259,AM,AMAZONAS,COARI,13016
2275,AM,AMAZONAS,CODAJAS,13011
2291,AM,AMAZONAS,EIRUNEPE,13030
2313,AM,AMAZONAS,ENVIRA,13029
2330,AM,AMAZONAS,FONTE BOA,13010
2020,AM,AMAZONAS,GUAJARA,
2356,AM,AMAZONAS,HUMAITA,13031
2399,AM,AMAZONAS,IPIXUNA,13027
98353,AM,AMAZONAS,IRANDUBA,
