"cut_dist","elect_year","inc_post","inc_0_50_post","edu_univ","unempl_post","tse_code"
-178646,1996,418.27,56.49,NA,14.84,19
-24742,1996,600.44,46.33,NA,16.15,35
-135898,1996,529.68,48.74,NA,9.75,51
-159644,1996,527.92,47.61,NA,9.24,78
-156548,1996,452.34,50,NA,8.57,94
-178269,1996,506.4,48.13,NA,9.01,116
-171812,1996,568.08,42.96,NA,9.93,132
-164208,1996,389.5,54.87,NA,9.23,159
-172984,1996,480.31,51.41,NA,7.96,175
-180182,1996,350.31,59.3,NA,6.86,191
-194263,1996,323.17,64.14,NA,5.94,213
-181946,1996,399.52,56.08,NA,9.67,230
-184791,1996,429.39,55.83,NA,4.92,256
-184409,1996,509.2,57.74,NA,10.66,272
-171550,1996,442.29,54.53,NA,8.99,299
-183871,1996,371.48,58.9,NA,6.24,310
-184819,1996,320.21,71.3,NA,8.08,337
-191418,1996,234.91,67.67,NA,7.28,353
-188258,1996,317.05,65.16,NA,2.81,370
-191347,1996,313.66,61.96,NA,6.75,396
-191881,1996,284.07,64.2,NA,2.04,418
-193381,1996,266.16,72.94,NA,12.12,434
-195065,1996,344.05,62.52,NA,5.75,450
-192145,1996,249.72,69.91,NA,14.86,477
-195531,1996,398.82,64.59,NA,9.89,493
-192170,1996,399.18,62.16,NA,7.51,515
-196687,1996,312.68,67.85,NA,4.99,531
-193909,1996,333.74,62.68,NA,2.85,558
-192402,1996,253.9,71.54,NA,4.98,566
-191819,1996,357.01,56.02,NA,4.88,574
-195608,1996,310.08,65.54,NA,1.74,582
-194398,1996,227.06,74.21,NA,3.57,590
-193090,1996,384.34,64.28,NA,1.84,604
-193243,1996,325.26,61.92,NA,5.35,612
-195458,1996,446.21,51.96,NA,4.16,620
-194156,1996,452.2,55.46,NA,3.9,639
-197257,1996,677.88,50.86,NA,4.56,647
-194827,1996,230.45,75.09,NA,3.02,655
-193800,1996,340.97,61,NA,3.54,663
-196737,1996,386.89,62.28,NA,1.99,671
-197764,1996,390.3,58.81,NA,3.95,680
-196577,1996,443.51,53.74,NA,1.99,698
-197799,1996,186.61,78.88,NA,14.84,701
-195002,1996,265.37,69.96,NA,3.38,710
-196839,1996,231.33,72.53,NA,3,728
-195386,1996,223.69,71.82,NA,4.48,736
-196152,1996,245.17,72.27,NA,10.98,744
-196484,1996,280.64,66.02,NA,4.7,752
-196368,1996,485.14,55.74,NA,3.34,779
-199244,1996,210.16,71.32,NA,13.18,787
-196285,1996,470.74,46.38,NA,2.23,795
-197877,1996,366.2,61.7,NA,8.35,809
-196121,1996,267.85,80.46,NA,4.82,1007
-197766,1996,228.84,76.08,NA,2.76,1015
-193925,1996,216.08,75.05,NA,11.83,1023
-199499,1996,82.98,92.21,NA,3.77,1031
-196536,1996,89.95,93.94,NA,21.89,1040
-190111,1996,261.45,71.04,NA,7.63,1058
-196966,1996,141.79,87.43,NA,0.23,1066
-167379,1996,276.42,71.25,NA,11.52,1074
